company,job_categories,keyword,max_salary,min_salary,requirements,responsibilities,seniority,title,url
MCCANN WORLDGROUP (SINGAPORE) PTE. LTD.,Advertising / Media ,Data Analyst,4000,3000,"Responsibilities:  Online Campaign Analytics 	 Website analytics Creative optimization A-B and multivariate test design Engagement Analysis/Scoring   Integrated Measurement Integrate disparate data sources that capture performance of online and offline media Analyze and benchmark performance across channels, media   properties, creative executions 	 Develop actionable optimization recommendations Interface with agency and client stakeholders to drive implementation    Skills & Requirements:  Technical Skills 	 Proficient in Excel/Google Spreadsheets. Experience using web analytics (Omniture, Google Analytics, Web Trends). Media analytics a plus Experience in statistical analysis, modelling and programming (SPSS, SAS, R, etc.) a plus Experience with web oriented programming (HTML, JavaScript, JQuery, etc.) a plus   3-5 years of experience in Performance/Data Science Degree in Statistics, Mathematics, Operations Research, Economics or a quantitative degree in another social science a plus. ",MRM//McCann is growing their digital strategy and data analytics capabilities here at the regional headquarters in Singapore and currently seeking a Junior Data Analyst to join the team.   ,Professional,DATA ANALYST,https://www.mycareersfuture.sg/job/85913b185949e35e5d7041c03a1f6a84
ENCORA TECHNOLOGIES PTE. LTD.,Information Technology,Data Analyst,5500,4000," Strong in Oracle database design, Oracle PL/SQL, and Oracle performance turning Expertise in Data Mapping, Data Analysis and Oracle SQL development A minimum of 8 to 10 years’ experience working as a Data Analyst & PL/SQL Developer Strong financial domain background is a MUST Strong analytical and problem solving abilities Good communication skills Ability to work as a team player as well as an independent performer Ability to work on multiple tasks concurrently ","     Work closely with Global teams and other technology partners to meet the project requirements Able to work effectively in a team and on any Ad-hoc duties as assigned Responsible for providing technical/functional solutions Good understanding of Data modeling Analyzing huge volumes of data and bifurcating into various flavors and produce metrics for the senior management Develop Oracle PL/SQL queries to apply data patches and fix data issues in the application Perform SQL tuning of queries and optimize reports and data retrieval response times, especially for huge volume of data Able to shift gears and to support multiple activities in parallel based on Business priorities Manage delivery of projects through complete SDLC life cycle Participate in and provide SME support for SIT/UAT testing and Production checkouts Clearly articulate the problem statement & resolution in both functional and technical terms Adopt and build process to manage the quality of the deliverables ",Middle Management,Senior Data Analyst,https://www.mycareersfuture.sg/job/aa7035dd05a9d5949ea70524bbaca848
ITCONNECTUS PTE. LTD.,Information Technology,Data Analyst,8000,5000,"Must-have:  Strong hands-on experience in Python, R, or Octave Good knowledge in mathematic modelling, statistics, probabilities. Understanding on Machine Learning technics, ARIMA, Neural Network, Linear regression Experience in UI presentation, QlikSense, Power BI, or R Shiny. Strong knowledge in SQL (Oracle, MySQL, MariaDB) Familiar with Linux operation system ","Job Duties & responsibilities (List the principal duties. Use concise statements that provide a clear understanding of the level of responsibility, complexity, creativity and analysis performed in this position).  Develop data model that are meaningful and impactful on a critical market data application. Interpret data and analyses data with SQL, R, Octave, Python. Build up analytic dashboard with QlikSense, Power BI, R Shinny.  Professional Qualification                       (please specify)        A Bachelor’s degree in Data Scientist or Computer Science (or equivalent experience) 5 – 10 years of data analytics exposure Have experience in applying machine learning models Able to perform unix / linux scripting. Writing of documents that clearly explain how algorithms should be implemented, verified and validated. ",Senior Executive,"Data Analyst, Machine Learning",https://www.mycareersfuture.sg/job/73cefaf0031f9f67574654fda7180b08
ADECCO PERSONNEL PTE LTD,Information Technology,Data Analyst,8000,5000," Bachelor’s degree in Computer Science/ Engineering or equivalent A minimum of 5 to 7 years’ experience working as a Data Analyst & PL/SQL Developer Strong financial domain background Strong in Oracle database design, Oracle PL/SQL, and Oracle performance turning Expertise in Data Mapping, Data Analysis and Oracle SQL development Experience with ETL tools is a plus Strong analytical and problem solving abilities Good communication skills Ability to work as a team player as well as an independent performer Ability to work on multiple tasks concurrently  Next Step Prepare your resume in word document (please include your current salary package with full breakdown such as base, incentives, annual wage supplement etc.) and expected package with your notice period (Including leaves to offset) and email it to TechnicalStaffing@adecco.com All shortlisted candidates will be contacted Wai Yun Wen EA License No: 91C2918 Personnel Registration Number: R1330726"," Work closely with Global teams and other technology partners to meet the project requirements Able to work effectively in a team and on any Ad-hoc duties as assigned Responsible for providing technical/functional solutions Good understanding of Data modeling Analyzing huge volumes of data and bifurcating into various flavors and produce metrics for the senior management Develop Oracle PL/SQL queries to apply data patches and fix data issues in the application Perform SQL tuning of queries and optimize reports and data retrieval response times, especially for huge volume of data Able to shift gears and to support multiple activities in parallel based on Business priorities Manage delivery of projects through complete SDLC life cycle Participate in and provide SME support for SIT/UAT testing and Production checkouts Clearly articulate the problem statement & resolution in both functional and technical terms Adopt and build process to manage the quality of the deliverables ",Executive,Senior Data Analyst,https://www.mycareersfuture.sg/job/c7f0d73648cc16e5a2c202783054e1e2
LINKEDIN SINGAPORE PTE. LTD.,Consulting ,Data Analyst,11000,5000,"Basic Qualifications:  BA/BS degree in related field 3+ years in client facing role 3+ years of Customer Success or post-sales capacity  Preferred Qualifications:  Prior experience with new products and/or new product launches Experience working with data/products that provide actionable insights to help customers make decisions Experience building and executing on customer success plans to ensure successful adoption and utilization of a technology product Experience working directly with customers in a pre-sales capacity (direct or overlay sales role) Experience working in or with Talent Acquisition/Recruiting/HR/Talent Analytics teams Ability to deep dive and understand products at detailed level with analytical and customer centric mindset Ability to drive insight from data and build strategy, develop success plans and best practices from analysis Initiative and leadership to drive results and change in a fast paced environment ","LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology. Searching for your dream job? At LinkedIn, we strive to help our employees find passion and purpose. Join us in changing the way the world works. The LinkedIn Talent Insights Consultant serves as a key customer resource for LinkedIn’s newest, most strategic product, LinkedIn Talent Insights (LTI). LTI is a data and insights product that will be leveraged by our customers to answer their most strategic questions. The LTI consultant will inform and enhance the product and customer experience for LTI by focusing on driving success for early customers and ensuring post-sales processes are built for scale. The LTI consultant will also act as the primary Voice of Customer to product, to ensure the product continues to evolve with the customer in mind.   In this role, you will work across LinkedIn and with customers to coordinate all post-sale onboarding and engagement activities and ensure success for our earliest customers. In addition to post-sales activities, you will also act as a pre-sales product specialist and partner with LinkedIn sales reps to effectively drive net new sales of LinkedIn Talent Insights and act as a product specialist for more technical and data driven sales conversations.   Responsibilities Primary Post-sales responsibilities:  Lead onboarding and training for end users of LTI to ensure they are successful with the product Support customer post-purchase by answering questions regarding data, metric calculation, and insight methodology; ensure that answers are codified and incorporated into Product and Learning center Monitor and optimize end-user engagement and re-engage users at appropriate times via email, webinars, and customer events; identify and address engagement issues; share best practices and Customer Success stories to drive engagement Share feedback with appropriate cross-functional teams (e.g., Product, Product Marketing, Sales) to improve customer experience Coordinate with Sales to join regular check-ins with the customer and provide updates relating to LTI (use cases, usage data, ROI metrics, etc.) and provide support to sales and customer for renewal conversations Provide ongoing support for these users (reactively answering questions, partnering with Customer support, Product and other cross-functional teams to address problems and provide resolution to customers)  Primary Pre-sales responsibilities  Join customer meetings as needed (alongside sales rep) to help address customer objections and/or complex questions in order to move the deal forward Answer questions regarding data in order to drive deal to close (data validation, metric calculation, and insight methodology); ensure that answers are codified and incorporated into product / learning center Display deep understanding of product and technical functionality and have ability to effectively demonstrate / speak to it using clients' specific use cases (in partnership with Sales) Help reps and customers feel more confident in LTI by sharing customer success stories, best practices and available post-sales support during the sales process   ",Professional,Data Analyst,https://www.mycareersfuture.sg/job/6c2a3e8c3355245018125d98d1bded8f
SCIENTE INTERNATIONAL PTE. LTD.,Information Technology,Data Analyst,5000,3000,"Mandatory Skill-set:  Degree in Computer Science/ Information Technology or Finance related disciplines; At least 8 years of experience in analyzing data/developing PL/SQL queries; Strong knowledge in Oracle databases design/ Oracle PL/SQL and Oracle Performance tuning; Good knowledge in financial domain and and data modelling to analyse large volumes of data to provide necessary metrics; Proficient in Data Mapping,Data analysis and good knowledge in the Financial domain;  Experience in working on big data sets to perform data quality checking and clearing; Independent and strong team player with good inter-personal skills; Excellent verbal and written communication skills.  Desired Skill-set:  Knowledge in KYC/AML; Oracle Database 11g/12c Certification; Experience with any of the ETL Tools (Informatica /Oracle Warehouse builder/SAS data Management).  Responsibilities:  Work closely with global teams in the KYC platform to gather user requirements, perform data profile and prepare data mapping specifications; Identify business requirements and provide technical and functional solutions; Analyzing large data sets and develop oracle PL/SQL queries to apply data patches and fix issues in application; Perform SQL tuning of queries and optimize reports and data retrieval response times; Able to manage delivery of projects through complete SDLC; Participating in providing support for SIT/UAT.   Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only short-listed candidates will be notified.   EA License: 07C5639 ",An exciting opportunity to work as a Senior Data Analyst in a leading Banking Industry.,Professional,Senior Data Analyst (JD#4042),https://www.mycareersfuture.sg/job/c5e15cac2bbf70238796da680ec6192c
NTT DATA SINGAPORE PTE. LTD.,"Banking and Finance, Information Technology",Data Analyst,7000,4500," A Bachelor’s degree in Data Scientist or Computer Science (or equivalent experience) 5 – 10 years of data analytics exposure Have experience in applying machine learning models Able to perform unix / linux scripting. Writing of documents that clearly explain how algorithms should be implemented, verified and validated. ","Job Duties & responsibilities  Develop data model that are meaningful and impactful on a critical market data application. Interpret data and analyses data with SQL, R, Octave, Python. Build up analytic dashboard with QlikSense, Power BI, R Shinny.  Required Experience  Must-have:  Strong hands-on experience in Python, R, or Octave Good knowledge in mathematic modelling, statistics, probabilities. Understanding on Machine Learning technics, ARIMA, Neural Network, Linear regression Experience in UI presentation, QlikSense, Power BI, or R Shiny. Strong knowledge in SQL (Oracle, MySQL, MariaDB) Familiar with Linux operation system   ",Professional,Data Analyst,https://www.mycareersfuture.sg/job/1808ee6a1f76b35f3e1fccc2bcbe2f2e
ECQUARIA TECHNOLOGIES PTE LTD,Information Technology,Data Analyst,5000,4000," Degree in Computer Science, Information Management or Mathematics. Strong knowledge in database design, data modeling, data mining, machine learning. Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, R, Matlab, etc.). Ability to work independently to innovate and develop prototypes to demonstrate the feasibility of ideas Possess good interpersonal, presentation and communication skills "," Identify, analyze, and interpret trends or patterns in complex data sets. Interpret data, analyze results using statistical techniques. Incorporate data analytics capabilities and features into Ecquaria line of products. The person will need to work with various teams in Ecquaria, chiefly, Product team and the Sales team. The person is expected to be customer facing for sales related initiatives to create mind share with prospects. The person is also expected to work with external organizations such as 3rd party companies. ","Middle Management, Executive",Data Analyst,https://www.mycareersfuture.sg/job/f9e31058199cdd1a0239f2748086809a
SAVANT INFOTECH SOLUTIONS PTE. LTD.,Information Technology,Data Analyst,6500,3800,"Shall have a minimum educational qualification of a recogised Degree in Computer Science/Data Analytics or related studies with a least two (2) years work experience in research or industry experience pertaining to data analytic.  Candidates with the following of qualifications and expertise are preferred: a) Experience in supporting Big Data initiatives in areas such as cloud computing, data analytics and distributed computing (such as Hadoop, inmemory databases,data modelling, machine leaning algorithms and complex event processing systems) would be an advantage. b) Fluency in statistical software tools scuh as R, Python, Stata or equivalent. c) Experience in Tableau would be an advantage. d) Experience in scripting to cleanse and analyse data","a) To support a project lifecycle from network implementation to maintenance as well as data calibration and testing to ensure that network infrastructures are designed and tested to support the required business needs.  Such activities include  i.  Site surveys as well as site co-ordination with vendors for planning and implementation works; ii  Joint troubleshooting with vendors and business users to ensure that issues are addressed promptly in accordance with project requirements. b) Ensure that the delivery of the project is compliant with relevant policies and guidelines and to identify and close any compliance gaps. c) To assess the operational impact of all system modifications on the functionality, performance and security of the systems d) Monitored dashboards daily to pick out anomalies, track alerts, and provide critical post-action reviews. e) Present actionable insights from weekly data analytics reports to higher management for follow-up actions. f)  Interfaced with key stakeholders to ensure pivotal considerations are taken into account for a smooth project delivery. g) Supervise on-site installations to collect data and ensuring works are carried out in a safe and compliant manner.","Executive, Non-executive",Data Analyst,https://www.mycareersfuture.sg/job/8ccb9738069590e6af129fc9475155e0
ADECCO PERSONNEL PTE LTD,"Admin / Secretarial, Customer Service, Information Technology, Others",Data Analyst,4800,3200,The Talent  Min degree/diploma in any discipline. Strong web analytical and problem solving skills Hands on experience on quantitative analysis are required. Outstanding relationship building and problem solving skills. Required to have good geographical knowledge and the written local language of Korea ,The Job  Analysing and grading large sets of data relevant to specific markets Investigating and providing feedback on issues reported Validating and correcting data from external sources     ,Fresh/entry level,Quality data analyst,https://www.mycareersfuture.sg/job/cd992038557fb348dd6ded45326e1668
NATIONAL UNIVERSITY OF SINGAPORE,"Education and Training, Information Technology",Data Analyst,5000,4000,"Successful candidate will have the following qualifications and capabilities:  PhD in operations research, applied statistics, data mining or a related quantitative discipline. Strong analytical skills, highly proficient in statistical and predictive modelling concepts, clustering and classification techniques, and optimization algorithms. Experience in query databases from different sources and perform quantitative modelling and statistical analysis. Experience in developing or programming databases; Some understanding of the higher education sector and the needs of related key stakeholders in the university. Ability to work autonomously. At least 3 years of similar experience. ","To assist the Director with the collection, analysis, visualisation of research and education data and presentation of analytical results for regular and ad-hoc reporting purposes to meet multiple information requirements of the various stakeholders of the university. The successful candidate will assist the Director of Research and Education Analytics with the following activities:  Research, collect, analyse and report on key indicators, for both regular and ad-hoc reporting purposes. Program and develop depositories and system for accessing regular reports by key stakeholders. Develop visualizations and presentations for dissemination of analytical results and derivation of actionable insight. Create detailed reports on data sources, methodology, analytical techniques, analytical results and insights for stakeholders. ",Professional,Data Analyst / Scientist,https://www.mycareersfuture.sg/job/fdf0602be51fe47147c9d897fc61dc85
ADECCO PERSONNEL PTE LTD,Customer Service,Data Analyst,4500,3500,"The Opportunity Gain an once-in-a-lifetime opportunity to work with a world class technology leader. We are working with the world's largest technology company whom is leading the market by their innovative products. With the expansion of the South East Asian market, we are seeking a group of specialized professionals to join our dynamic and fun-loving team in Singapore.   The Talent  Min degree in any discipline. Resourceful, strong web analytical and problem solving skills Experience in customer problem analysis. Hands on experience on quantitative analysis are required. Ability to resolve & provide suggestion to solutions for difficulties/problems with high uncertainty Required to have good geographical knowledge and the written local language of Cambodia Require to be fluent in spoken Khmer language to engage in phone calls  "," Analyzing and grading large sets of data relevant to specific markets Designing maps, graphics, illustrations and layouts Ensuring map accuracy and quality checks validation Research, using online tools to investigate geographic accuracy of queries Investigating and providing feedback on issues reported Validating and correcting data from external sources ",Non-executive,Data Analyst,https://www.mycareersfuture.sg/job/0987cfc29e5fedab5684645351825e39
KADENCE INTERNATIONAL PTE. LTD.,Marketing / Public Relations ,Data Analyst,5000,4000,"SECTION B: Responsibilities and Tasks Internal Process Perspective “What business processes must I excel at?” Responsibilities Tasks 1. Analysis  Advices in questionnaire design stage if any extra analysis required for the study (i.e. Segmentation, Pricing, Trade off analysis) Working with Data Analysis Team and Research team, preparing ‘extra’ statistical analysis of data Advice in analysis methodologies to be used    2 .Data cleaning and output   Cleaning and checking raw data in SPSS prior to preparation of Q files and cross-tabs Keeping records of all and any changes made to data during cleaning/checking process Preparing and checking data coding documents Preparing Q files as per cross-tab request form Preparing cross-tabs instructions as per cross-tab request form for outsource agency (outsource cross tab) Creating Coding document Preparing Open Book document Preparing data output to match client requested format, including checking labels and code frames    3 .CATI/WAPI scripting and testing  Prepare CATI/WAPI scripting instructions as per final questionnaire version requests for outsource agency to script in Confirmit Testing of CATI/WAPI survey scripts to ensure working correctly Setting up quotas to enable quota monitoring Amending script as and when needed Creating and formatting Html information/invitation emails to be sent through Confirmit    4 .Database sourcing and sampling  Compiling databases according to specification Selecting sample and preparing leads for call centre    5. Management of Junior staff  Working closely with a DP Executive to ensure that projects are run efficiently, accurately and cost-effectively through the DP Team Supervising on an on-going basis the development of junior Executive(s) Participating in formal Appraisals of junior Executives(s) Participating in the recruitment process of members of the Data Analysis Team    6 .Quality Management  Maintaining all relevant paperwork in accordance with ISO 9001 Quality Manual  Client Perspective “How can I exceed our clients’ expectations?” Responsibilities Tasks 1 .Liaising with clients  Attending client (internal and/or external) project briefings and presentations Communicating with clients (internal and/or external), in a client friendly manner, to ensure smooth project progression    2 .Client satisfaction  Monitoring and contributing to client satisfaction, by being ‘client friendly’ and ‘output focused’  Financial Perspective “How can I contribute to the financial success of the company?” Responsibilities Tasks 1 .Understanding project costing and budget  Showing an understanding of project costing and budget Working within project budgets as far as possible    2 .Minimising rework  Recording hours and reasons of rework Working to minimise rework on projects    3 .Innovation  Innovating process improvements that would result in increased efficiencies  Learning & Development Perspective “How do I want to change and improve?” Responsibilities Tasks 1 .Recognising Learning and Development needs  Identifying and discussing personal Learning & Development needs and desires with Line Managers during one-to-one sessions and performance appraisals  2 .Participating in Learning & Development activities  Participating in Learning & Development activities that are perceived to contribute to personal development  3 .Applying new skills acquired in Learning & Development activities  Evaluating Learning & Development activities Applying new skills acquired, on the job    4 .Developing Junior Staff   Identifying and organising learning and development needs of junior staff  Culture Perspective “How can I make this a better place to work?” Responsibilities Tasks 1 .Contributing to an enjoyable workplace  ‘Choose your attitude’, ‘Make their day’, ‘Be engaged’, ‘Create energy’    2 .Sharing knowledge  Participating in and contributing to Internal Learning sessions Sharing knowledge with colleagues informally Mentoring junior staff Supporting other team members  SECTION D:  Preferential Incumbent Profile  First rate statistical analysis skills First rate Excel, SPSS skills Experience in Confirmit programming/ questionnaire programming Experience in business-to-business research Experience in managing and / or mentoring Exceptional attention to detail Good troubleshooting skills utilizing a logical way of thinking Ability to communicate issues clearly and concisely and provide alternative solutions where applicable A strong opinion on good research and the confidence to input into data analysis Client focused Team focused     ","Main duties: to work closely with the Research Team and managing junior Data Analysts to support the Company in providing accurate, timely, insightful research to clients that tells a story, is actionable, and really delivers knowledge",Middle Management,Senior Data Analyst,https://www.mycareersfuture.sg/job/b56becb0af3068a587627be7f351a69b
ILLUMINA SINGAPORE PTE. LTD.,Information Technology,Data Analyst,7200,4500,"Requirements  Diploma/Degree in Computer Science or related discipline. Should have at least 2 years technical roles in software development preferably in web. Good background in C# web development but not restricted to using Microsoft .NET / ASP.NET / MVC / WCF / AJAX.  JavaScript / JQuery client-side scripting and Bootstrap / JQuery UI for components and styling. Database design in Microsoft SQL with ability to write and optimized queries or stored procedures. Experience with Version Management tool such as Microsoft Visual SourceSafe. Ability to develop mobile apps for phones / tablets would be advantageous. Knowledge of data processing, hardware platform and enterprise software applications. Ability to work independently as well as collaboratively as part of a highly-skilled team. Excellent communication skills possess logical and analytical skills with attention to detail.    Education  Diploma/Degree in Computer Science or related discipline. Passion in software development and keen in writing or debugging software codes. Willing to learn and adopt coding practice to ensure system sustainability. Have done coding with .Net Framework using C#, would be desirable. Understand database schemas and design, ability to write queries or stored procedures, preferably with MS SQL. Experience in developing mobile apps for mobile devices would be advantageous. Excellent communication skills possess logical and analytical skills with attention to detail. Candidates with no experience may be considered. ","Position Summary:  This position reports to Senior Manager of Production, and will work closely with Enterprise System Architect and Network Support group. The group manages the technology and applications that drives the manufacturing reporting and operation needs. The position requires at least 2 years of experience having completed at least 1 software development life cycle. You must have a working knowledge of relational databases, object-oriented programming in web and client-server concept. You must also be able to rely on experience and judgement to plan and accomplish goals.  All About You   Responsibilities:  Provide technical expertise and recommendations in assessing new IT software projects and initiatives to support and enhance our existing Microsoft based systems. Identify opportunities that can improve efficiency of business processes. Investigate and resolve application functionality related issues and provide first level support. Manage application development for multiple projects. Assist in application installation and testing. Troubleshoot technical issues and identify modifications needed in existing applications to meet changing user. ",Professional,Data Analyst - AC - 11761-JOB,https://www.mycareersfuture.sg/job/defb375e9bc086dbd560a3683efcc1b4
ARYAN SEARCH PTE. LTD.,Information Technology,Data Analyst,7000,6000," Data analytics exposure. Have experience in applying machine learning models. Able to perform unix / linux scripting. Writing of documents that clearly explain how algorithms should be implemented, verified and validated. "," Strong hands-on experience in Python, R, or Octave Good knowledge in mathematic modelling, statistics, probabilities. Understanding on Machine Learning technics, ARIMA, Neural Network, Linear regression Experience in UI presentation, QlikSense, Power BI, or R Shiny. Strong knowledge in SQL (Oracle, MySQL, MariaDB) Familiar with Linux operation system ",Professional,Opening for Data Analyst(Machine Learning) profile in Singapore Location.,https://www.mycareersfuture.sg/job/8779522206076b9932e0d5e1931ad89c
ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"Consulting , Information Technology",Data Analyst,7000,4000," 3+ years of full-time work experience in top-tier strategy consulting firm  Experience in developing dashboards and reporting tools  Experience in role requiring rigorous analytical problem solving, quantitative analysis, and complex stakeholder management (including very senior stakeholders)  Tolerance for ambiguity and ability to work in a fast-changing environment, with an entrepreneurial approach.  Experience working in complex organizations where working across boundaries and developing strong organizational relationships are keys to success.  Excellent written and oral communication skills and strong interpersonal skills and ability to work with cross-functional teams.  Ability to multi-task, set priorities and work efficiently in a high-paced environment  Problem-solver with the ability to run analyses, track metrics, and find creative ways to optimize performance.  Proven project management skills, e.g. managing cross-functional teams. Ability to create effective relationships to influence and collaborate, across all levels  ","Brand and Reputation marketing is tasked to demonstrate contribution to the country where we operate. Over the past year, we have built a series of highly impactful programs which have changed people’s lives on the ground and have achieved cut-through awareness and appreciation by key opinion formers. One of our key programs is digital skilling program, a free online-course on digital marketing to help entrepreneurs to grow their business or individuals to advance in their career as digital marketers.   Know the user. Know the magic. Connect the two. At its core, marketing starts with technology and ends with the user, bringing both together in unconventional ways. Our job is to demonstrate how products solve the world's problems--from the everyday to the epic, from the mundane to the monumental. And we approach marketing in a way that only can--changing the game, redefining the medium, making the user the priority, and ultimately, letting the technology speak for itself.     Track key performance metrics across multiple teams  Increase effectiveness of tools by recognizing opportunities for development and proactively creating new systems and structures.  Analyze, plan, design and track initiatives and impacts measurement tools  Work with operations and engineering to develop and define new or improved tools.  Drive efficiencies into the business tracking and monitoring progress.  Develop best practices guideline and process document.  ",Executive,Data Analyst,https://www.mycareersfuture.sg/job/c85bd57e767346fe64d06b2f01d442f4
DENTSU AEGIS NETWORK HUB2050,Sciences / Laboratory / R&D,Data Analyst,6000,4000,"​​We invite people passionate about data and artificial intelligence to join a growing team.  You have to be a self-starter, hands-on builder and collaborative team player. You can think on your feet, connect disparate dots, imagine connections and importantly, craft approaches to turn ideas and imagination into real capabilities, inspired by data. You are excited by your work going live in the market with clients and teams around the world. Desired Skills and Experience  1+ years of experience in applied data science. At least a Bachelor’s degree in Mathematics, Statistics, Computer Science, Engineering or Information Systems. Familiar with Python programming, including pandas and NumPy libraries. Working knowledge in machine learning / data mining. Highly logical, systematic, independent and fast learner. Self-starter and motivated. Confident, responsible and can proactively think of and implement solutions to tricky problems.​ ","BACKGROUND: About Dentsu Aegis Network Dentsu Aegis Network helps clients build consumer relationships by communicating their products and brands effectively. Our distinctive and innovative range of products and services include marketing and communications strategies through digital marketing and creative execution, media planning and buying, creative services, technology applications, SEO, content creation, brand tracking and marketing analytics. Find out more about us at https://www.dentsuaegisnetwork.com/   About Dentsu Aegis Network’s Global Data Innovation Centre As the world of data continues to grow exponentially in the advent of connected devices, IoT, industrialised digitization of the economy and the way people move through digitized networks, Dentsu Aegis seeks to harness the power of data and transform this into intelligent applications, products and platforms.   The Dentsu Aegis Network Global Data Innovation Centre, hubbed in Singapore, is a strategic initiative to ensure that the Group stays at the forefront of the digital economy and develops global products which sit at the intersection of deep domain knowledge, consumer psychology, data and technology.   KEY ACCOUNTABILITIES: As a Data Science Analyst, you will work closely with the Data Scientists and the engineering team to develop leading edge data analytics solutions and capabilities that uncovers insights from vast amounts of structured and unstructured data, through a combination of research and experimentation.   On a day to day basis, your responsibilities can comprise of:  Apply quantitative methods and build statistically valid and scalable algorithms that convey actionable conclusions from very large datasets. You should be able to synthesize scientific publications on statistical applications and then write programs to implement the applications that are most suitable for our data. Complete tasks effectively and in a timely manner. ",Junior Executive,Data Science Analyst,https://www.mycareersfuture.sg/job/3ab8e8e1373a15a42f60f0dac7496fff
COMTEL SOLUTIONS PTE LTD,Information Technology,Data Analyst,9750,6500," Deep and practical understanding on implementing high performance, well-behaved analytics applications with a focus on data ingestion, feature engineering, model selection, training, validating and deployment A deep understanding of statistical and predictive modelling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms Must have excellent Python, R and software development skills Familiarity with Linux based operating system environments Experience with scripting languages (e.g. Python, R, Julia) for data manipulation and statistical computing tools i.e. Spark Streaming (extraction, cleansing, transformation, smoothing, PMML model execution) Experience in working with large datasets through OLAP tools i.e. Druid Experience manipulating structured and unstructured data sources for analysis i.e. Greenplum, SparkSQL, HBase, S3 by using Notebook technologies such as Jupyter and Zeppelin Working experience in cloud based and open source technology components  Interested applicants are invited to apply by clicking upon the link below or by email to recruit@comtel-solutions.com"," Perform full life-cycle of Data Scientist / Analyst activities, including conceptualization, visualization to operationalization Primary focus will be in applying data science to solve business problems; data mining techniques, doing statistical analysis, building high-quality prediction systems, and use deep learning techniques Able to understand and solve the business problem by translating into a data model and building insights into an actionable outcome  Collaborate with cross-functional teams to identify and prioritize actionable, high-impact insights across a variety of customer servicing areas  Research, design, implement and validate models / algorithms to analyse diverse sources of data to achieve targeted outcomes  Carry out customer behaviour analytics and deliver actionable insights in real time; through behaviour segmentation, predictive modelling, lifetime value modelling, churn prevention, statistical simulations and what if scenarios ",Executive,Data Analytics Analyst,https://www.mycareersfuture.sg/job/20cffbc395830faa2cf16e8404482719
APPLE SOUTH ASIA PTE. LTD.,Logistics / Supply Chain,Data Analyst,12000,6000," Strong troubleshooting / problem solving skill set Strong analytical skills and attention to details Excellent verbal and written communication skills Material Master data experience in SAP or Oracle ERP system SAP Variant Configuration knowledge / experience is desirable Item and BOM (bill of materials) data experience in Agile is desirable Advanced skills in Microsoft Excel is required Script development capability to download, upload and validate data with minimal manual touch is desirable BA/BS degree with minimum 2 years of relevant experience in a consumer electronics environment  ","The regional MDM team at Apple is looking for a highly motivated individual, who thrives in a fast paced dynamic tech environment.  This position requires a range of ability from accurately processing complex data “hands on” to driving end to end process improvement for flawless execution.  The ideal candidate is both a team player across Apple and leader in driving change across various levels of the organization to ultimately surprise and delight the customer.  Manage material master data readiness in SAP to support on-time new product introductions (NPI) while ensuring the highest level of data integrity and confidentiality Manage material lifecycle from item creation to end of life through various systems in accordance to Apple’s governance policy Create and maintain SAP’s Variant Configuration to support our Configure-to-Order (CTO) which includes writing logic rules and maintaining dependency tables Proactively coordinate, track and report on material master status / impact (especially risks) for NPI and provide any ad hoc reports / analysis required Provide material master data expertise as the subject matter expert (SME) to support or lead regional and global projects (e.g. new factory, new distribution center, new retail stores, supply chain changes, automation, process improvements, etc.) which may include adding data requirements, design evaluation, data testing, cutover and implementation Generate and drive continuous innovation to address root causes through post mortem, ensure consistent accuracy / minimal risk and increase efficiency, requiring deep understanding of how material data drives system behavior across Apple, aligning key partners at all levels of the organization and globally (AMR, EMEiA, PAC) standardizing as much as possible Train / onboard new hires and cross functional partners to ensure the right level of material master data knowledge for flawless execution and continuous process improvements, including ongoing updating work instructions documentation ",Executive,Master Data Management Analyst,https://www.mycareersfuture.sg/job/8e9f422900691a68b926809fccef5fb6
